,CBSA Name,Mode,Total
475,"Albuquerque, NM",Drive Alone,390160.0
476,"Albuquerque, NM",Drive Alone,390160.0
477,"Albuquerque, NM",Drive Alone,390160.0
478,"Albuquerque, NM",Drive Alone,390160.0
479,"Albuquerque, NM",Drive Alone,390160.0
480,"Albuquerque, NM",Drive Alone,390160.0
481,"Albuquerque, NM",Drive Alone,390160.0
482,"Albuquerque, NM",Drive Alone,390160.0
483,"Albuquerque, NM",Drive Alone,390160.0
484,"Albuquerque, NM",Drive Alone,390160.0
485,"Albuquerque, NM",Drive Alone,390160.0
486,"Albuquerque, NM",Drive Alone,390160.0
487,"Albuquerque, NM",Drive Alone,390160.0
488,"Albuquerque, NM",Drive Alone,390160.0
489,"Albuquerque, NM",Drive Alone,390160.0
490,"Albuquerque, NM",Drive Alone,390160.0
491,"Albuquerque, NM",Drive Alone,390160.0
492,"Albuquerque, NM",Drive Alone,390160.0
493,"Albuquerque, NM",Drive Alone,390160.0
494,"Albuquerque, NM",Drive Alone,390160.0
495,"Albuquerque, NM",Drive Alone,390160.0
496,"Albuquerque, NM",Drive Alone,390160.0
497,"Albuquerque, NM",Drive Alone,390160.0
498,"Albuquerque, NM",Drive Alone,390160.0
499,"Albuquerque, NM",Drive Alone,390160.0
500,"Alexandria, LA",Carpool,59794.0
501,"Alexandria, LA",Carpool,59794.0
502,"Alexandria, LA",Carpool,59794.0
503,"Alexandria, LA",Carpool,59794.0
504,"Alexandria, LA",Carpool,59794.0
505,"Alexandria, LA",Carpool,59794.0
506,"Alexandria, LA",Carpool,59794.0
507,"Alexandria, LA",Carpool,59794.0
508,"Alexandria, LA",Carpool,59794.0
509,"Alexandria, LA",Carpool,59794.0
510,"Alexandria, LA",Other,59794.0
511,"Alexandria, LA",Other,59794.0
512,"Alexandria, LA",Other,59794.0
513,"Alexandria, LA",Other,59794.0
514,"Alexandria, LA",Other,59794.0
515,"Alexandria, LA",Public Transportation,59794.0
516,"Alexandria, LA",Drive Alone,59794.0
517,"Alexandria, LA",Drive Alone,59794.0
518,"Alexandria, LA",Drive Alone,59794.0
519,"Alexandria, LA",Drive Alone,59794.0
520,"Alexandria, LA",Drive Alone,59794.0
521,"Alexandria, LA",Drive Alone,59794.0
522,"Alexandria, LA",Drive Alone,59794.0
523,"Alexandria, LA",Drive Alone,59794.0
524,"Alexandria, LA",Drive Alone,59794.0
525,"Alexandria, LA",Drive Alone,59794.0
526,"Alexandria, LA",Drive Alone,59794.0
527,"Alexandria, LA",Drive Alone,59794.0
528,"Alexandria, LA",Drive Alone,59794.0
529,"Alexandria, LA",Drive Alone,59794.0
530,"Alexandria, LA",Drive Alone,59794.0
531,"Alexandria, LA",Drive Alone,59794.0
532,"Alexandria, LA",Drive Alone,59794.0
533,"Alexandria, LA",Drive Alone,59794.0
534,"Alexandria, LA",Drive Alone,59794.0
535,"Alexandria, LA",Drive Alone,59794.0
536,"Alexandria, LA",Drive Alone,59794.0
537,"Alexandria, LA",Drive Alone,59794.0
538,"Alexandria, LA",Drive Alone,59794.0
539,"Alexandria, LA",Drive Alone,59794.0
540,"Alexandria, LA",Drive Alone,59794.0
541,"Alexandria, LA",Drive Alone,59794.0
542,"Alexandria, LA",Drive Alone,59794.0
543,"Alexandria, LA",Drive Alone,59794.0
544,"Alexandria, LA",Drive Alone,59794.0
545,"Alexandria, LA",Drive Alone,59794.0
546,"Alexandria, LA",Drive Alone,59794.0
547,"Alexandria, LA",Drive Alone,59794.0
548,"Alexandria, LA",Drive Alone,59794.0
549,"Alexandria, LA",Drive Alone,59794.0
550,"Alexandria, LA",Drive Alone,59794.0
551,"Alexandria, LA",Drive Alone,59794.0
552,"Alexandria, LA",Drive Alone,59794.0
553,"Alexandria, LA",Drive Alone,59794.0
